% parallel ∥
alefmaksuraarabic ى
alefmaksurafinalarabic ﻰ
alefmaksurainitialarabic ﻳ
alefmaksuramedialarabic ﻴ
alefmapiq אּ
alefpatahhebrew אַ
alefqamatshebrew אָ
alefwithhamzaabovefinal أ
alefwithhamzaaboveisolated أ
alefwithhamzabelowfinal إ
alefwithhamzabelowisolated إ
alefwithmaddaabovefinal آ
alefwithmaddaaboveisolated آ
aleph ℵ
allequal ≌
alpha α
alphatonos ά
althyphen -
altselector ?
amacron ā
amonospace ａ
ampersand &
ampersandmonospace ＆
ampersandsmall 
amsquare ㏂
anbopomofo ㄢ
angbopomofo ㄤ
angbracketleft ⟨
angbracketleftBig ⟨
angbracketleftBigg ⟨
angbracketleftbig ⟨
angbracketleftbigg ⟨
angbracketright ⟩
angbracketrightBig ⟩
angbracketrightBigg ⟩
angbracketrightbig ⟩
angbracketrightbigg ⟩
angkhankhuthai ๚
angle ∠
anglearc ∢
anglebracketleft 〈
anglebracketleftvertical ︿
anglebracketright 〉
anglebracketrightvertical ﹀
angleleft 〈
angleleftbig ⟨
angleleftbig3 ⟨
angleleftbig4 ⟨
angleleftbig5 ⟨
angleleftbig6 ⟨
angleleftbig7 ⟨
angleright 〉
anglerightbig ⟩
anglerightbig3 ⟩
anglerightbig4 ⟩
anglerightbig5 ⟩
anglerightbig6 ⟩
anglerightbig7 ⟩
angstrom Å
anoteleia ·
anticlockwise ↺
anticlockwisecontintegraldisplay ∳
anticlockwisecontintegraltext ∳
anudattadeva ॒
anusvarabengali ং
anusvaradeva ं
anusvaragujarati ં
aogonek ą
apaatosquare ㌀
aparen ⒜
apostrophearmenian ՚
apostrophemod ʼ
apple 
appleopen 🍏
approaches ≐
approxequal ≈
approxequalorimage ≒
approximatelyequal ≅
approxorequal ≊
araeaekorean ㆎ
araeakorean ㆍ
arc ⌒
archleftdown ↶
archrightdown ↷
arighthalfring ẚ
aring å
aringacute ǻ
aringbelow ḁ
aristerikeraia ͵
armabbrev ՟
armapostrophe ՚
armat ը
armca կ
armcha չ
armcheh ո
armcomma ՝
armdot .
armdram ֏
armdza ձ
arme է
armendash ֊
armeternity ֍
armew և
armexclam ՜
armfullstop ։
armghad ն
armghat ղ
armho մ
armhyphen ֊
armini ի
armja յ
armken հ
armliwn լ
armmen չ
armnow ջ
armnum ՚
armo օ
armparenleft (
armparenright )
armpyur փ
armquestion ՞
armquotleft «
armquotright »
armra ռ
armsha շ
armtche ճ
armto թ
armtsa ծ
armxeh խ
armyi պ
armzhe ժ
arrowboth ↔
arrowbothv ↕
arrowbt ↓
arrowdblboth ⇔
arrowdblbothv ⇕
arrowdblbt ⇓
arrowdbldown ⇓
arrowdblleft ⇐
arrowdblright ⇒
arrowdbltp ⇑
arrowdblup ⇑
arrowdown ↓
arrowdownleft ↙
arrowdownright ↘
arrowdownwhite ⇩
arrowheaddownmod ˅
arrowheadleftmod ˂
arrowheadrightmod ˃
arrowheadupmod ˄
arrowhorizex 
arrowleft ←
arrowleftdbl ⇐
arrowleftdblstroke ⇍
arrowleftoverright ⇆
arrowleftwhite ⇦
arrownortheast ↗
arrownorthwest ↖
arrowparrleftright ⇆
arrowparrrightleft ⇄
arrowright →
arrowrightdblstroke ⇏
arrowrightheavy ➞
arrowrightwhite ⇨
arrowsoutheast ↘
arrowsouthwest ↙
arrowtableft ⇤
arrowtabright ⇥
arrowtailleft ↢
arrowtailright ↣
arrowtp ↑
arrowtripleleft ⇚
arrowtripleright ⇛
arrowup ↑
arrowupdn ↕
arrowupdnbse ↨
arrowupdownbase ↨
arrowupleft ↖
arrowupleftofdown ⇅
arrowupright ↗
arrowupwhite ⇧
arrowvertex 
arrowvertexdbl ‖
ascendercompwordmark ?
asciiacute ´
asciiacutedbl  ̋
asciibreve ˘
asciicaron ˇ
asciicircum ^
asciicircummonospace ＾
asciidieresis ¨
asciigrave `
asciigravedbl  ̏
asciimacron ¯
asciitilde ~
asciitildemonospace ～
ascript ɑ
ascriptturned ɒ
asmallhiragana ぁ
asmallkatakana ァ
asmallkatakanahalfwidth ｧ
asperperispomene ᾿
asterisk *
asteriskaltonearabic ٭
asteriskarabic ٭
asteriskcentered ∗
asteriskmath ∗
asteriskmonospace ＊
asterisksmall ﹡
asterism ⁂
asuperior 
asymptoticallyequal ≃
at @
atilde ã
atmonospace ＠
atsmall ﹫
aturned ɐ
aubengali ঔ
aubopomofo ㄠ
audeva औ
augujarati ઔ
augurmukhi ਔ
aulengthmarkbengali ৗ
aumatragurmukhi ੌ
auvowelsignbengali ৌ
auvowelsigndeva ौ
auvowelsigngujarati ૌ
avagrahadeva ऽ
axisshort -
aybarmenian ա
ayin ע
ayinaltonehebrew ﬠ
ayinhebrew ע
b b
babengali ব
babygamma ˠ
back ␈
backslash \
backslashBig \
backslashBigg \
backslashbig \
backslashbig3 \
backslashbig4 \
backslashbig5 \
backslashbig6 \
backslashbig7 \
backslashbigg \
backslashmonospace ＼
badeva ब
bagujarati બ
bagurmukhi ਬ
bahiragana ば
baht ฿
bahtthai ฿
bakatakana バ
bar |
bardbl ‖
barmonospace ｜
bartriple ⦀
bbar ƀ
bbbb 𝕓
bbopomofo ㄅ
bcircle ⓑ
bdotaccent ḃ
bdotbelow ḅ
beamedsixteenthnotes ♬
because ∵
becyrillic б
beharabic ب
behfinal ﺐ
behfinalarabic ﺐ
behinitial ﺑ
behinitialarabic ﺑ
behiragana べ
behisolated ﺏ
behmedialarabic ﺒ
behmeeminitialarabic ﲟ
behmeemisolatedarabic ﰈ
behnoonfinalarabic ﱭ
bekatakana ベ
benarmenian բ
bet ב
beta β
betasymbolgreek ϐ
betdagesh בּ
betdageshhebrew בּ
beth ℶ
bethebrew ב
betrafehebrew בֿ
between ≬
beware ⚠
bhabengali ভ
bhadeva भ
bhagujarati ભ
bhagurmukhi ਭ
bhook ɓ
bigcircle ◯
bigstar ★
bihiragana び
bikatakana ビ
bilabialclick ʘ
bindigurmukhi ਂ
birusquare ㌱
blackcircle ●
blackdiamond ◆
blackdownpointingtriangle ▼
blackleftpointingpointer ◄
blackleftpointingtriangle ◀
blacklenticularbracketleft 【
blacklenticularbracketleftvertical ︻
blacklenticularbracketright 】
blacklenticularbracketrightvertical ︼
blacklowerlefttriangle ◣
blacklowerrighttriangle ◢
blackrectangle ▬
blackrightpointingpointer ►
blackrightpointingtriangle ▶
blacksmallsquare ▪
blacksmilingface ☻
blacksquare ■
blackstar ★
blacktriangleleft ◀
blacktriangleright ▶
blackupperlefttriangle ◤
blackupperrighttriangle ◥
blackuppointingsmalltriangle ▴
blackuppointingtriangle ▲
blank ␣
blanksymbol ␢
blinebelow ḇ
block █
bmonospace ｂ
bobaimaithai บ
bohiragana ぼ
bokatakana ボ
bomb 💣
born ⋆
bowtie ⋈
boxvert ◫
bparen ⒝
bqsquare ㏃
braceex 
bracehtipdownleft ⎩
bracehtipdownright ⎭
bracehtipupleft ⎧
bracehtipupright ⎫
braceleft {
braceleftBig {
braceleftBigg {
braceleftbig {
braceleftbig3 {
braceleftbig4 {
braceleftbig5 {
braceleftbig6 {
braceleftbig7 {
braceleftbigg {
braceleftbt 
braceleftmid 
braceleftmonospace ｛
braceleftsmall ﹛
bracelefttp 
braceleftvertical ︷
braceright }
bracerightBig }
bracerightBigg }
bracerightbig }
bracerightbig3 }
bracerightbig4 }
bracerightbig5 }
bracerightbig6 }
bracerightbig7 }
bracerightbigg }
bracerightbt 
bracerightmid 
bracerightmonospace ｝
bracerightsmall ﹜
bracerighttp 
bracerightvertical ︸
bracketdoubleleft ⟦
bracketdoubleleftBBig ⟦
bracketdoubleleftBig ⟦
bracketdoubleleftbbig ⟦
bracketdoubleleftbig ⟦
bracketdoubleright ⟧
bracketdoublerightBBig ⟧
bracketdoublerightBig ⟧
bracketdoublerightbbig ⟧
bracketdoublerightbig ⟧
bracketleft [
bracketleftBig [
bracketleftBigg [
bracketleftbig [
bracketleftbig3 [
bracketleftbig4 [
bracketleftbig5 [
bracketleftbig6 [
bracketleftbig7 [
bracketleftbigg [
bracketleftbt 
bracketleftex 
bracketleftmonospace ［
bracketlefttp 
bracketright ]
bracketrightBig ]
bracketrightBigg ]
bracketrightbig ]
bracketrightbig3 ]
bracketrightbig4 ]
bracketrightbig5 ]
bracketrightbig6 ]
bracketrightbig7 ]
bracketrightbigg ]
bracketrightbt 
bracketrightex 
bracketrightmonospace ］
bracketrighttp 
breve ˘
brevebelowcmb ̮
brevebelowcomb  ̮
brevecmb ̆
brevecomb  ̆
brevecomb-cy  ̆
breveinv  ̑
breveinvertedbelowcmb ̯
breveinvertedcmb ̑
breveinverteddoublecmb ͡
brevenosp ˘
bridgebelowcmb ̪
bridgeinvertedbelowcmb ̺
brokenbar ¦
bstroke ƀ
bsuperior 
btopbar ƃ
buhiragana ぶ
bukatakana ブ
bullet •
bulletinverse ◘
bulletoperator ∙
bullseye ◎
c c
caarmenian ծ
cabengali চ
cacute ć
cadeva च
cagujarati ચ
cagurmukhi ਚ
calsquare ㎈
candra ॅ
candrabindu  ̐
candrabindubengali ঁ
candrabinducmb ̐
candrabindudeva ँ
candrabindugujarati ઁ
capitagrave `
capitalacute ´
capitalbreve ˘
capitalcaron ˇ
capitalcircumflex ˆ
capitalcompwordmark ?
capitaldieresis ¨
capitaldotaccent ˙
capitalgrave `
capitalhungarhumlaut ˝
capitalhungarumlaut ˝
capitalmacron ¯
capitalring ˚
capitaltilde ˜
capslock ⇪
care ℅
careof ℅
caret ‸
caretinsert ⁁
caron ˇ
caronbelowcmb ̬
caroncmb ̌
caronnosp ˇ
carriagereturn ↵
caution ☡
cbbb 𝕔
cbopomofo ㄘ
ccaron č
ccedilla ç
ccedillaacute ḉ
ccircle ⓒ
ccircumflex ĉ
ccurl ɕ
cdot ċ
cdotaccent ċ
cdsquare ㏅
cedilla ¸
cedillacmb ̧
ceilingleft ⌈
ceilingleftBig ⌈
ceilingleftBigg ⌈
ceilingleftbig ⌈
ceilingleftbig3 ⌈
ceilingleftbig4 ⌈
ceilingleftbig5 ⌈
ceilingleftbig6 ⌈
ceilingleftbig7 ⌈
ceilingleftbigg ⌈
ceilingright ⌉
ceilingrightBig ⌉
ceilingrightBigg ⌉
ceilingrightbig ⌉
ceilingrightbig3 ⌉
ceilingrightbig4 ⌉
ceilingrightbig5 ⌉
ceilingrightbig6 ⌉
ceilingrightbig7 ⌉
ceilingrightbigg ⌉
cent ¢
centigrade ℃
centinferior 
centmonospace ￠
centoldstyle 
centsuperior 
ch ch
chaarmenian չ
chabengali ছ
chadeva छ
chagujarati છ
chagurmukhi ਛ
chbopomofo ㄔ
cheabkhasiancyrillic ҽ
check ✓
checkmark ✓
checyrillic ч
chedescenderabkhasiancyrillic ҿ
chedescendercyrillic ҷ
chedieresiscyrillic ӵ
cheharmenian ճ
chekhakassiancyrillic ӌ
cheverticalstrokecyrillic ҹ
chi χ
chieuchacirclekorean ㉷
chieuchaparenkorean ㈗
chieuchcirclekorean ㉩
chieuchkorean ㅊ
chieuchparenkorean ㈉
chochangthai ช
chochanthai จ
chochingthai ฉ
chochoethai ฌ
chook ƈ
cieucacirclekorean ㉶
cieucaparenkorean ㈖
cieuccirclekorean ㉨
cieuckorean ㅈ
cieucparenkorean ㈈
cieucuparenkorean ㈜
cigmalunate Ϲ
circle ○
circleR ®
circleS Ⓢ
circleasterisk ⊛
circlecirc ⊚
circlecopyrt Ⓒ
circledP ℗
circledR ®
circledash ⊝
circledivide ⊘
circledot ⊙
circledotdisplay ⊙
circledottext ⊙
circleequal ≗
circlefigure ◯
circleminus ⊖
circlemultiply ⊗
circlemultiplydisplay ⊗
circlemultiplytext ⊗
circleot ⊙
circleplus ⊕
circleplusdisplay ⊕
circleplustext ⊕
circlepostalmark 〶
circlering ⊚
circlewithlefthalfblack ◐
circlewithrighthalfblack ◑
circumflex ˆ
circumflexbelowcmb ̭
circumflexcmb ̂
circumflexnosp ˆ
ck ck
cl CL
clckwcontintegdisplay ∲
clckwcontintegtext ∲
clear ⌧
clickalveolar ǂ
clickdental ǀ
clicklateral ǁ
clickretroflex ǃ
clockwise ↻
clockwisecontintegraldisplay ∲
clockwisecontintegraltext ∲
clockwiseintegraldisplay ∱
clockwiseintegraltext ∱
club ♣
clubsuitblack ♣
clubsuitwhite ♧
cmcubedsquare ㎤
cmonospace ｃ
cmsquaredsquare ㎠
cntrclckwcontintegdisplay ∳
cntrclckwcontintegtext ∳
coarmenian ց
colon :
colonapprox :≈
coloncolonapprox ::≈
coloncolonsim ::~
coloncurrency ₡
colonmonetary ₡
colonmonospace ：
colonsign ₡
colonsim :~
colonsmall ﹕
colontriangularhalfmod ˑ
colontriangularmod ː
comma ,
commaabovecmb ̓
commaaboverightcmb ̕
commaaccent 
commaarabic ،
commaarmenian ՝
commainferior 
commamonospace ，
commareversedabovecmb ̔
commareversedmod ʽ
commasmall ﹐
commasuperior 
commaturnedabovecmb ̒
commaturnedmod ʻ
commaturnsup  ̒
compass ☼
complement ∁
compwordmark ‌
congruent ≅
contdblintegraldisplay ∯
contdblintegraltext ∯
contintegraldisplay ∮
contintegraltext ∮
contourintegral ∮
control ⌃
controlACK 
controlBEL 
controlBS 
controlCAN 
controlCR 
controlDC1 
controlDC2 
controlDC3 
controlDC4 
controlDEL 
controlDLE 
controlEM 
controlENQ 
controlEOT 
controlESC 
controlETB 
controlETX 
controlFF 
controlFS 
controlGS 
controlHT 	
controlLF 

controlNAK 
controlRS 
controlSI 
controlSO 
controlSOT 
controlSTX 
controlSUB 
controlSYN 
controlUS 
controlVT 
conttripleintegraldisplay ∰
conttripleintegraltext ∰
coproduct ∐
coproductdisplay ∐
coproductdisplay2 ∐
coproducttext ∐
coproducttext2 ∐
copyleft 🄯
copyright ©
copyrightsans 
copyrightserif 
cornerbracketleft 「
cornerbracketlefthalfwidth ｢
cornerbracketleftvertical ﹁
cornerbracketright 」
cornerbracketrighthalfwidth ｣
cornerbracketrightvertical ﹂
corporationsquare ㍿
cosquare ㏇
coverkgsquare ㏆
cparen ⒞
cruzeiro ₢
csquotedblright “
cstretched ʗ
ct ct
cturn ↄ
cupdot ⨃
curlyand ⋏
curlyleft ↫
curlyor ⋎
curlyorfollows ⋟
curlyorprecedes ⋞
curlyright ↬
currency ¤
curvearrowleft ↶
curvearrowright ↷
cwm ​
cyrBreve 
cyrFlex 
cyrbreve 
cyrflex 
cyrillicbreve  ̆
d d
daarmenian դ
dabengali দ
dadarabic ض
dadeva द
dadfinalarabic ﺾ
dadinitialarabic ﺿ
dadmedialarabic ﻀ
dagesh ּ
dageshhebrew ּ
dagger †
daggerdbl ‡
dagujarati દ
dagurmukhi ਦ
dahiragana だ
dakatakana ダ
dalarabic د
dalet ד
daletdagesh דּ
daletdageshhebrew דּ
daleth ℸ
dalethatafpatah דֲ
dalethatafpatahhebrew דֲ
dalethatafsegol דֱ
dalethatafsegolhebrew דֱ
dalethebrew ד
dalethiriq דִ
dalethiriqhebrew דִ
daletholam דֹ
daletholamhebrew דֹ
daletpatah דַ
daletpatahhebrew דַ
daletqamats דָ
daletqamatshebrew דָ
daletqubuts דֻ
daletqubutshebrew דֻ
daletsegol דֶ
daletsegolhebrew דֶ
daletsheva דְ
daletshevahebrew דְ
dalettsere דֵ
dalettserehebrew דֵ
dalfinalarabic ﺪ
dalt d
dammaarabic ُ
dammalowarabic ُ
dammatanaltonearabic ٌ
dammatanarabic ٌ
danda ।
dargahebrew ֧
dargalefthebrew ֧
dasiaoxia ῞
dasiapneumatacyrilliccmb ҅
dbar đ
dbbb 𝕕
dblGrave 
dblanglebracketleft 《
dblanglebracketleftvertical ︽
dblanglebracketright 》
dblanglebracketrightvertical ︾
dblarchinvertedbelowcmb ̫
dblarrowdown ⇊
dblarrowdwn ⇊
dblarrowheadleft ↞
dblarrowheadright ↠
dblarrowleft ⇔
dblarrowright ⇒
dblarrowup ⇈
dblbracketleft ⟦
dblbracketleftBig ⟦
dblbracketleftBigg ⟦
dblbracketleftbig ⟦
dblbracketleftbig3 ⟦
dblbracketleftbig4 ⟦
dblbracketleftbig5 ⟦
dblbracketleftbig6 ⟦
dblbracketleftbig7 ⟦
dblbracketleftbigg ⟦
dblbracketright ⟧
dblbracketrightBig ⟧
dblbracketrightBigg ⟧
dblbracketrightbig ⟧
dblbracketrightbig3 ⟧
dblbracketrightbig4 ⟧
dblbracketrightbig5 ⟧
dblbracketrightbig6 ⟧
dblbracketrightbig7 ⟧
dblbracketrightbigg ⟧
dblcontintegdisplay ∯
dblcontintegtext ∯
dbldanda ॥
dblgrave 
dblgravecmb ̏
dblintegral ∬
dbllowline ‗
dbllowlinecmb ̳
dbloverlinecmb ̿
dblprimemod ʺ
dblverticalbar ‖
dblverticallineabovecmb ̎
dbopomofo ㄉ
dbsquare ㏈
dcaron ď
dcedilla ḑ
dcircle ⓓ
dcircumflexbelow ḓ
dcroat đ
ddabengali ড
ddadeva ड
ddagujarati ડ
ddagurmukhi ਡ
ddalarabic ڈ
ddalfinalarabic ﮉ
dddhadeva ड़
ddhabengali ঢ
ddhadeva ढ
ddhagujarati ઢ
ddhagurmukhi ਢ
ddotaccent ḋ
ddotbelow ḍ
decimalseparatorarabic ٫
decimalseparatorpersian ٫
decyrillic д
defines ≜
degree °
degreecentigrade ℃
dehihebrew ֭
dehiragana で
deicoptic ϯ
dekatakana デ
delete ␡
deleteleft ⌫
deleteright ⌦
delta δ
deltaturn ƍ
deltaturned ƍ
denominatorminusonenumeratorbengali ৸
dexiakeraia ʹ
dezh ʤ
dhabengali ধ
dhadeva ध
dhagujarati ધ
dhagurmukhi ਧ
dhook ɗ
dialytikatonos ΅
dialytikatonoscmb ̈́
diameter ⌀
diamond ♢
diamonddiamond 🞜
diamonddots ᠅
diamondmath ⋄
diamondsolid ◆
diamondsuitwhite ♢
died †
diereesisnosp ¨
dieresis ¨
dieresisacute 
dieresisbelowcmb ̤
dieresiscmb ̈
dieresisgrave 
dieresistonos ΅
difference ≏
digamma ϝ
digammait Ϝ
dihiragana ぢ
dikatakana ヂ
discount ٪
dittomark 〃
divide ÷
dividemultiply ⋇
divides |
divisionslash ∕
divorced ⚮
djecyrillic ђ
dkshade ▓
dlinebelow ḏ
dlsquare ㎗
dmacron đ
dmonospace ｄ
dnblock ▄
dnos d
dochadathai ฎ
dodekthai ด
dohiragana ど
dokatakana ド
dollar $
dollarinferior 
dollarmonospace ＄
dollaroldstyle 
dollarsmall ﹩
dollarsuperior 
dong ₫
dorusquare ㌦
dotacc ˙
dotaccent ˙
dotaccentcmb ̇
dotbelowcmb ̣
dotbelowcomb ̣
doteq ≐
dotkatakana ・
dotlessi ı
dotlessj ȷ
dotlessjstrokehook ʄ
dotmath ⋅
dotminus ∸
dotnosp ˙
dotplus ∔
dottedcircle ◌
doublecontintegdisplay ∯
doublecontintegtext ∯
doubleyodpatah ײַ
doubleyodpatahhebrew ײַ
downfall ⋎
downslope ⧹
downtackbelowcmb ̞
downtackmod ˕
dparen ⒟
dsuperior 
dtail ɖ
dtopbar ƌ
duhiragana づ
dukatakana ヅ
dz ǳ
dzaltone ʣ
dzcaron ǆ
dzcurl ʥ
dze_abkhasian ӡ
dzeabkhasiancyrillic ӡ
dzecyrillic ѕ
dzhecyrillic џ
e e
eacute é
earth ♁
ebbb 𝕖
ebengali এ
ebopomofo ㄜ
ebreve ĕ
ecandradeva ऍ
ecandragujarati ઍ
ecandravowelsigndeva ॅ
ecandravowelsigngujarati ૅ
ecaron ě
ecedillabreve ḝ
echarmenian ե
echyiwnarmenian և
ecircle ⓔ
ecircumflex ê
ecircumflexacute ế
ecircumflexbelow ḙ
ecircumflexdotbelow ệ
ecircumflexgrave ề
ecircumflexhookabove ể
ecircumflextilde ễ
ecyrillic є
edblgrave ȅ
edeva ए
edieresis ë
edot ė
edotaccent ė
edotbelow ẹ
eegurmukhi ਏ
eematragurmukhi ੇ
efcyrillic ф
egrave è
egujarati એ
eharmenian է
ehbopomofo ㄝ
ehiragana え
ehookabove ẻ
eibopomofo ㄟ
eight 8
eightarabic ٨
eightbengali ৮
eightcircle ⑧
eightcircleinversesansserif ➑
eightdeva ८
eighteencircle ⑱
eighteenparen ⒅
eighteenperiod ⒙
eightgujarati ૮
eightgurmukhi ੮
eighthackarabic ٨
eighthangzhou 〨
eighthnotebeamed ♫
eightideographicparen ㈧
eightinferior ₈
eightmonospace ８
eightoldstyle 
eightparen ⑻
eightperiod ⒏
eightpersian ۸
eightroman ⅷ
eightsuperior ⁸
eightthai ๘
einvertedbreve ȇ
eiotifiedcyrillic ѥ
ekatakana エ
ekatakanahalfwidth ｴ
ekonkargurmukhi ੴ
ekorean ㅔ
elcyrillic л
element ∈
elevencircle ⑪
elevenparen ⑾
elevenperiod ⒒
elevenroman ⅺ
ell ℓ
ellipsis …
ellipsisvertical ⋮
emacron ē
emacronacute ḗ
emacrongrave ḕ
ematra े
emcyrillic м
emdash —
emdashvertical ︱
emonospace ｅ
emphasismarkarmenian ՛
emptyset ∅
emptysetstress ∅
emptyslot ?
enbopomofo ㄣ
encyrillic н
endash –
endashvertical ︲
endescendercyrillic ң
eng ŋ
engbopomofo ㄥ
enghecyrillic ҥ
enhookcyrillic ӈ
enspace  
eogonek ę
eokorean ㅓ
eopen ɛ
eopenclosed ʚ
eopenreversed ɜ
eopenreversedclosed ɞ
eopenreversedhook ɝ
eparen ⒠
epsilon ε
epsilon1 ϵ
epsiloninv ϶
epsilonlatin ɛ
epsilonlatinrev ɜ
epsilontonos έ
equal =
equaldotleftright ≒
equaldotrightleft ≓
equalinferior ₌
equalmonospace ＝
equalorfollows ⋟
equalorgreater ⋝
equalorig =
equalorless ⋜
equalorprecedes ⋞
equalorsimilar ≂
equalsdots ≑
equalslantorgreater ⪖
equalslantorless ⪕
equalsmall ﹦
equalsuperior ⁼
equivalence ≡
equivasymptotic ≍
erasetotheright ⌦
erbopomofo ㄦ
ercyrillic р
ereversed ɘ
ereversedcyrillic э
escyrillic с
esdescendercyrillic ҫ
esh ʃ
eshcurl ʆ
eshlooprev ƪ
eshortdeva ऎ
eshortvowelsigndeva ॆ
eshreversedloop ƪ
eshsquatreversed ʅ
esmallhiragana ぇ
esmallkatakana ェ
esmallkatakanahalfwidth ｪ
estimated ℮
esuperior 
eta η
etarmenian ը
etatonos ή
eth ð
etilde ẽ
etildebelow ḛ
etnahtafoukhhebrew ֑
etnahtafoukhlefthebrew ֑
etnahtahebrew ֑
etnahtalefthebrew ֑
eturned ǝ
eukorean ㅡ
euro €
euro2 €
eurocurrency ₠
evowelsignbengali ে
evowelsigndeva े
evowelsigngujarati ે
exclam !
exclamarmenian ՜
exclamdbl ‼
exclamdown ¡
exclamdownsmall 
exclammonospace ！
exclamsmall 
existential ∃
ezh ʒ
ezhcaron ǯ
ezhcurl ʓ
ezhreversed ƹ
ezhtail ƺ
f f
fIntegraldisplay ⨏
fIntegraltext ⨏
f_t ﬅ
fadeva फ़
fagurmukhi ਫ਼
fahrenheit ℉
falt f
fathaarabic َ
fathalowarabic َ
fathatanarabic ً
fb fb
fbbb 𝕗
fbopomofo ㄈ
fcircle ⓕ
fdotaccent ḟ
feharabic ف
feharmenian ֆ
fehfinalarabic ﻒ
fehinitialarabic ﻓ
fehmedialarabic ﻔ
feicoptic ϥ
female ♀
ff ff
ffb ffb
fff fff
ffh ffh
ffi ffi
ffij ffij
ffj ffj
ffk ffk
ffl ffl
fft fft
fh fh
fhook Ƒ
fi fi
fifteencircle ⑮
fifteenparen ⒂
fifteenperiod ⒖
figuredash ‒
fij fij
filledbox ■
filledrect ▬
finalkaf ך
finalkafdagesh ךּ
finalkafdageshhebrew ךּ
finalkafhebrew ך
finalkafqamats ךָ
finalkafqamatshebrew ךָ
finalkafsheva ךְ
finalkafshevahebrew ךְ
finalmem ם
finalmemhebrew ם
finalnun ן
finalnunhebrew ן
finalpe ף
finalpehebrew ף
finals s
finaltsadi ץ
finaltsadihebrew ץ
fintegraldisplay ⨏
fintegraltext ⨏
firsttonechinese ˉ
fisheye ◉
fismall fi
fitacyrillic ѳ
five 5
fivearabic ٥
fivebengali ৫
fivecircle ⑤
fivecircleinversesansserif ➎
fivedeva ५
fiveeighths ⅝
fivegujarati ૫
fivegurmukhi ੫
fivehackarabic ٥
fivehangzhou 〥
fiveideographicparen ㈤
fiveinferior ₅
fivemonospace ５
fiveoldstyle 
fiveparen ⑸
fiveperiod ⒌
fivepersian ۵
fiveroman ⅴ
fivesixths ⅚
fivesuperior ⁵
fivethai ๕
fj fj
fk fk
fl fl
flat ♭
flatsf ♭
floorleft ⌊
floorleftBig ⌊
floorleftBigg ⌊
floorleftbig ⌊
floorleftbig3 ⌊
floorleftbig4 ⌊
floorleftbig5 ⌊
floorleftbig6 ⌊
floorleftbig7 ⌊
floorleftbigg ⌊
floorright ⌋
floorrightBig ⌋
floorrightBigg ⌋
floorrightbig ⌋
floorrightbig3 ⌋
floorrightbig4 ⌋
floorrightbig5 ⌋
floorrightbig6 ⌋
floorrightbig7 ⌋
floorrightbigg ⌋
florin ƒ
flsmall fl
fmonospace ｆ
fmsquare ㎙
fnos f
fofanthai ฟ
fofathai ฝ
follownotdbleqv ⪺
follownotslnteql ⪶
followornoteqvlnt ⋩
follows ≻
followsequal ⪰
followsnotapproxeql ⪺
followsnotdbleql ⪴̸
followsorapproxeql ⪸
followsorcurly ≽
followsordblequal ⪴
followsorequal ≿
followsornotsimilar ⋩
followsorsimilar ≿
fongmanthai ๏
forall ∀
forces ⊩
forcesbar ⊪
forcesextra ⊫
fork ⋔
four 4
fourarabic ٤
fourbengali ৪
fourcircle ④
fourcircleinversesansserif ➍
fourdeva ४
fourfifths ⅘
fourgujarati ૪
fourgurmukhi ੪
fourhackarabic ٤
fourhangzhou 〤
fourideographicparen ㈣
fourinferior ₄
fourmonospace ４
fournumeratorbengali ৷
fouroldstyle 
fourparen ⑷
fourperiod ⒋
fourpersian ۴
fourroman ⅳ
foursuperior ⁴
fourteencircle ⑭
fourteenparen ⒁
fourteenperiod ⒕
fourthai ๔
fourthtonechinese ˋ
fparen ⒡
fraction ⁄
franc ₣
frown ⌢
ft ft
g g
gabengali গ
gacute ǵ
gadeva ग
gafarabic گ
gaffinalarabic ﮓ
gafinitialarabic ﮔ
gafmedialarabic ﮕ
gagujarati ગ
gagurmukhi ਗ
gahiragana が
gakatakana ガ
galt g
gamma γ
gamma_gamma γγ
gammalatinsmall ɣ
gammasuperior ˠ
gangiacoptic ϫ
gbar ǥ
gbbb 𝕘
gbopomofo ㄍ
gbreve ğ
gcaron ǧ
gcedilla ģ
gcircle ⓖ
gcircumflex ĝ
gcommaaccent ģ
gdot ġ
gdotaccent ġ
gecyrillic г
gehiragana げ
gekatakana ゲ
geomequivalent ≎
geometricallyequal ≑
geqslant ⩾
gereshaccenthebrew ֜
gereshhebrew ׳
gereshmuqdamhebrew ֝
germandblS ß
germandbls ß
gershayimaccenthebrew ֞
gershayimhebrew ״
getamark 〓
ghabengali ঘ
ghadarmenian ղ
ghadeva घ
ghagujarati ઘ
ghagurmukhi ਘ
ghainarabic غ
ghainfinalarabic ﻎ
ghaininitialarabic ﻏ
ghainmedialarabic ﻐ
ghemiddlehookcyrillic ҕ
ghestrokecyrillic ғ
gheupturncyrillic ґ
ghhadeva ग़
ghhagurmukhi ਗ਼
ghook ɠ
ghzsquare ㎓
gihiragana ぎ
gikatakana ギ
gimarmenian գ
gimel ג
gimeldagesh גּ
gimeldageshhebrew גּ
gimelhebrew ג
gjecyrillic ѓ
glottalinvertedstroke ƾ
glottalstop ʔ
glottalstopbarinv ƾ
glottalstopinverted ʖ
glottalstopmod ˀ
glottalstopreversed ʕ
glottalstopreversedmod ˁ
glottalstopreversedsuperior ˤ
glottalstopstroke ʡ
